,Date,OpenCL,HighCL,LowCL,CloseCL,OpenDA,HighDA,LowDA,CloseDA,delta_C,delta_D,delta_C_squared,delta_D_squared,lag_delta_C_squared,lag_delta_D_squared,lag2_delta_C_squared,lag2_delta_D_squared,lag3_delta_C_squared,lag3_delta_D_squared,lag4_delta_C_squared,lag4_delta_D_squared,lag_delta_C,lag_delta_D
50,6/3/2014,102.4400024,102.8600006,102.2300034,102.6600037,40.84000015,41.38999939,40.66999817,41.15000153,0.220001221,0.310001373,0.048400537,0.096100851,0.202497253,0.396901346,0.640004883,0.052899789,0.270404443,0.03240011,2.0163948,0.5625,-0.449996948,0.630001068
51,6/4/2014,102.7900009,103.6900024,102.3399963,102.6399994,41.29000092,42.34999847,40.77000046,42.16999817,-0.150001526,0.879997253,0.022500458,0.774395166,0.048400537,0.096100851,0.202497253,0.396901346,0.640004883,0.052899789,0.270404443,0.03240011,0.220001221,0.310001373
52,6/5/2014,102.3700027,102.6900024,101.5999985,102.4800034,42.47000122,42.65999985,41.47999954,41.5,0.11000061,-0.970001221,0.012100134,0.940902368,0.022500458,0.774395166,0.048400537,0.096100851,0.202497253,0.396901346,0.640004883,0.052899789,-0.150001526,0.879997253
53,6/6/2014,102.4400024,103.0699997,102.3000031,102.6600037,41.77000046,42.27000046,41.72999954,42.22999954,0.220001221,0.459999084,0.048400537,0.211599158,0.012100134,0.940902368,0.022500458,0.774395166,0.048400537,0.096100851,0.202497253,0.396901346,0.11000061,-0.970001221
54,6/9/2014,102.7799988,104.5699997,102.6200027,104.4100037,42.34999847,42.47000122,41.58000183,41.86999893,1.630004883,-0.479999542,2.656915918,0.230399561,0.048400537,0.211599158,0.012100134,0.940902368,0.022500458,0.774395166,0.048400537,0.096100851,0.220001221,0.459999084
55,6/10/2014,104.4599991,105.0599976,103.9800034,104.3499985,41.86000061,42.02000046,41.25999832,41.91999817,-0.11000061,0.059997559,0.012100134,0.003599707,2.656915918,0.230399561,0.048400537,0.211599158,0.012100134,0.940902368,0.022500458,0.774395166,1.630004883,-0.479999542
56,6/11/2014,104.3000031,104.8099976,104.1699982,104.4000015,41,41.08000183,39.88000107,40.70999908,0.099998474,-0.290000916,0.009999695,0.084100531,0.012100134,0.003599707,2.656915918,0.230399561,0.048400537,0.211599158,0.012100134,0.940902368,-0.11000061,0.059997559
57,6/12/2014,104.4700012,106.9499969,104.3499985,106.5299988,39.81999969,39.84999847,38.09999847,38.5,2.059997559,-1.319999695,4.243589941,1.742399194,0.009999695,0.084100531,0.012100134,0.003599707,2.656915918,0.230399561,0.048400537,0.211599158,0.099998474,-0.290000916
58,6/13/2014,106.8399963,107.6800003,106.3700027,106.9100037,38.50999832,39.63000107,38.47999954,39.24000168,0.070007324,0.730003357,0.004901025,0.532904901,4.243589941,1.742399194,0.009999695,0.084100531,0.012100134,0.003599707,2.656915918,0.230399561,2.059997559,-1.319999695
59,6/16/2014,106.8799973,107.5400009,106.5699997,106.9000015,38.59999847,39.13999939,38.25,38.84000015,0.020004272,0.240001678,0.000400171,0.057600806,0.004901025,0.532904901,4.243589941,1.742399194,0.009999695,0.084100531,0.012100134,0.003599707,0.070007324,0.730003357
60,6/17/2014,106.5899963,107.1800003,106.0100021,106.3600006,39.13000107,39.77999878,39.02999878,39.49000168,-0.229995728,0.36000061,0.052898035,0.129600439,0.000400171,0.057600806,0.004901025,0.532904901,4.243589941,1.742399194,0.009999695,0.084100531,0.020004272,0.240001678
61,6/18/2014,106.5999985,106.9700012,105.8000031,105.9700012,39.40000153,39.81999969,39.00999832,39.75,-0.629997253,0.349998474,0.396896539,0.122498932,0.052898035,0.129600439,0.000400171,0.057600806,0.004901025,0.532904901,4.243589941,1.742399194,-0.229995728,0.36000061
62,6/19/2014,106.1100006,106.6999969,105.3199997,106.4300003,39.83000183,40.34000015,39.41999817,39.61999893,0.319999695,-0.210002899,0.102399805,0.044101218,0.396896539,0.122498932,0.052898035,0.129600439,0.000400171,0.057600806,0.004901025,0.532904901,-0.629997253,0.349998474
63,6/20/2014,106.5999985,107.7300034,106.3300018,107.2600021,39.75,39.97000122,39.40999985,39.56999969,0.660003662,-0.180000305,0.435604834,0.03240011,0.102399805,0.044101218,0.396896539,0.122498932,0.052898035,0.129600439,0.000400171,0.057600806,0.319999695,-0.210002899
64,6/23/2014,107.4199982,107.4499969,105.9100037,106.1699982,39.40999985,39.66999817,38.56999969,39.06999969,-1.25,-0.340000153,1.5625,0.115600104,0.435604834,0.03240011,0.102399805,0.044101218,0.396896539,0.122498932,0.052898035,0.129600439,0.660003662,-0.180000305
65,6/24/2014,106.0199966,106.4599991,105.25,106.0299988,38.88999939,39.36999893,38.54999924,38.56999969,0.010002136,-0.319999695,0.000100043,0.102399805,1.5625,0.115600104,0.435604834,0.03240011,0.102399805,0.044101218,0.396896539,0.122498932,-1.25,-0.340000153
66,6/25/2014,106.1399994,107.5,105.4700012,106.5,38.50999832,39.5,38.04000092,39.34999847,0.36000061,0.840000153,0.129600439,0.705600256,0.000100043,0.102399805,1.5625,0.115600104,0.435604834,0.03240011,0.102399805,0.044101218,0.010002136,-0.319999695
67,6/26/2014,106.7099991,106.8099976,105.0299988,105.8399963,39.27999878,39.52000046,38.84999847,39.29999924,-0.870002747,0.020000458,0.756904779,0.000400018,0.129600439,0.705600256,0.000100043,0.102399805,1.5625,0.115600104,0.435604834,0.03240011,0.36000061,0.840000153
68,6/27/2014,105.6399994,106.1900024,105.3300018,105.7399979,39.25999832,39.40999985,38.93000031,39.33000183,0.099998474,0.07000351,0.009999695,0.004900491,0.756904779,0.000400018,0.129600439,0.705600256,0.000100043,0.102399805,1.5625,0.115600104,-0.870002747,0.020000458
69,6/30/2014,105.6900024,105.7600021,104.6600037,105.3700027,39.18000031,39.33000183,38.59999847,38.72000122,-0.319999695,-0.459999084,0.102399805,0.211599158,0.009999695,0.004900491,0.756904779,0.000400018,0.129600439,0.705600256,0.000100043,0.102399805,0.099998474,0.07000351
70,7/1/2014,105.4400024,106.0899963,104.5999985,105.3399963,39,40.40999985,38.90000153,40.31000137,-0.100006104,1.310001373,0.010001221,1.716103598,0.102399805,0.211599158,0.009999695,0.004900491,0.756904779,0.000400018,0.129600439,0.705600256,-0.319999695,-0.459999084
71,7/2/2014,105.2099991,105.5299988,104.0999985,104.4800034,38.95999908,39,38.02999878,38.24000168,-0.729995728,-0.719997406,0.532893762,0.518396265,0.010001221,1.716103598,0.102399805,0.211599158,0.009999695,0.004900491,0.756904779,0.000400018,-0.100006104,1.310001373
72,7/3/2014,104.2699966,104.2900009,103.6699982,104.0599976,38.34999847,38.95999908,38.29000092,38.59999847,-0.209999084,0.25,0.044099615,0.0625,0.532893762,0.518396265,0.010001221,1.716103598,0.102399805,0.211599158,0.009999695,0.004900491,-0.729995728,-0.719997406
73,7/7/2014,104.0599976,104.1299973,103.1900024,103.5299988,38.43000031,38.5,36.70999908,36.90000153,-0.529998779,-1.529998779,0.280898706,2.340896265,0.044099615,0.0625,0.532893762,0.518396265,0.010001221,1.716103598,0.102399805,0.211599158,-0.209999084,0.25
74,7/8/2014,103.3899994,104.1999969,103.0100021,103.4000015,35.59999847,36.74000168,34.77000046,36.43999863,0.010002136,0.840000153,0.000100043,0.705600256,0.280898706,2.340896265,0.044099615,0.0625,0.532893762,0.518396265,0.010001221,1.716103598,-0.529998779,-1.529998779
75,7/9/2014,103.4499969,103.5999985,101.8499985,102.2900009,37.56999969,37.83000183,36.58000183,36.95999908,-1.159996033,-0.61000061,1.345590796,0.372100745,0.000100043,0.705600256,0.280898706,2.340896265,0.044099615,0.0625,0.532893762,0.518396265,0.010002136,0.840000153
76,7/10/2014,101.9499969,103,101.5500031,102.9300003,36.20000076,37.68999863,36.08000183,37.45000076,0.980003357,1.25,0.96040658,1.5625,1.345590796,0.372100745,0.000100043,0.705600256,0.280898706,2.340896265,0.044099615,0.0625,-1.159996033,-0.61000061
77,7/11/2014,102.8600006,102.9199982,100.4400024,100.8300018,37.59999847,37.88000107,37.06999969,37.22999954,-2.029998779,-0.369998932,4.120895044,0.13689921,0.96040658,1.5625,1.345590796,0.372100745,0.000100043,0.705600256,0.280898706,2.340896265,0.980003357,1.25
78,7/14/2014,100.4599991,101.1999969,100.2200012,100.9100037,37.58000183,37.75,37.29999924,37.38000107,0.450004578,-0.200000763,0.20250412,0.040000305,4.120895044,0.13689921,0.96040658,1.5625,1.345590796,0.372100745,0.000100043,0.705600256,-2.029998779,-0.369998932
79,7/15/2014,100.9300003,101.0599976,99.01000214,99.95999908,37.59000015,38.20000076,37.52000046,38.02999878,-0.970001221,0.439998627,0.940902368,0.193598792,0.20250412,0.040000305,4.120895044,0.13689921,0.96040658,1.5625,1.345590796,0.372100745,0.450004578,-0.200000763
80,7/16/2014,100.2099991,101.5999985,100.0699997,101.1999969,38.33000183,38.40999985,37.72999954,37.86999893,0.989997864,-0.460002899,0.98009577,0.211602667,0.940902368,0.193598792,0.20250412,0.040000305,4.120895044,0.13689921,0.96040658,1.5625,-0.970001221,0.439998627
81,7/17/2014,101.4899979,103.9000015,101.2699966,103.1900024,37.59999847,37.95000076,36.43999863,36.56999969,1.700004578,-1.029998779,2.890015564,1.060897485,0.98009577,0.211602667,0.940902368,0.193598792,0.20250412,0.040000305,4.120895044,0.13689921,0.989997864,-0.460002899
82,7/18/2014,103.7200012,103.9400024,102.5800018,103.1299973,36.95000076,37.66999817,36.86000061,37.18000031,-0.590003967,0.229999542,0.348104681,0.052899789,2.890015564,1.060897485,0.98009577,0.211602667,0.940902368,0.193598792,0.20250412,0.040000305,1.700004578,-1.029998779
83,7/21/2014,102.9700012,104.9899979,102.6500015,104.5899963,37.02000046,37.22000122,36.59000015,37.15000153,1.619995117,0.130001068,2.62438418,0.016900278,0.348104681,0.052899789,2.890015564,1.060897485,0.98009577,0.211602667,0.940902368,0.193598792,-0.590003967,0.229999542
84,7/22/2014,104.5800018,105.25,103.8899994,104.4199982,37.43999863,37.88999939,37.36999893,37.68000031,-0.160003662,0.240001678,0.025601172,0.057600806,2.62438418,0.016900278,0.348104681,0.052899789,2.890015564,1.060897485,0.98009577,0.211602667,1.619995117,0.130001068
85,7/23/2014,101.9599991,103.3399963,101.7900009,103.1200027,37.77999878,39.29999924,37.75999832,39.15000153,1.160003662,1.370002747,1.345608496,1.876907526,0.025601172,0.057600806,2.62438418,0.016900278,0.348104681,0.052899789,2.890015564,1.060897485,-0.160003662,0.240001678
86,7/24/2014,103.1999969,103.3099976,101.8799973,102.0699997,39.49000168,39.75,37.93999863,38.06999969,-1.129997253,-1.420001984,1.276893793,2.016405634,1.345608496,1.876907526,0.025601172,0.057600806,2.62438418,0.016900278,0.348104681,0.052899789,1.160003662,1.370002747
87,7/25/2014,102.0400009,102.5299988,101,102.0899963,38.09000015,38.91999817,37.90999985,38.06000137,0.049995422,-0.029998779,0.002499542,0.000899927,1.276893793,2.016405634,1.345608496,1.876907526,0.025601172,0.057600806,2.62438418,0.016900278,-1.129997253,-1.420001984
